date,date_day,date_month,date_year,show_name,show_theater,show_type,num_of_attendance,capacity_filled,revenue,percentage_of_poss_profit,num_of_performances
1991-03-24,24,3,1991,Miss Saigon,Broadway,Musical,1737,1,100647,NA,0
1991-03-31,31,3,1991,Miss Saigon,Broadway,Musical,12160,1,634424,NA,0
1991-04-07,7,4,1991,Miss Saigon,Broadway,Musical,13921,1,713353,NA,0
1991-04-14,14,4,1991,Miss Saigon,Broadway,Musical,10973,0.9,573981,NA,4
1991-04-21,21,4,1991,Miss Saigon,Broadway,Musical,14076,1.01,706793,NA,8
1991-04-28,28,4,1991,Miss Saigon,Broadway,Musical,14065,1.01,714968,NA,8
1991-05-05,5,5,1991,Miss Saigon,Broadway,Musical,14064,1.01,730765,NA,8
1991-05-12,12,5,1991,Miss Saigon,Broadway,Musical,13896,1,766713,NA,8
1991-05-19,19,5,1991,Miss Saigon,Broadway,Musical,13738,0.99,763332,NA,8
1991-05-26,26,5,1991,Miss Saigon,Broadway,Musical,13897,1,769137,NA,8
1991-06-02,2,6,1991,Miss Saigon,Broadway,Musical,14016,1.01,774412,NA,8
1991-06-09,9,6,1991,Miss Saigon,Broadway,Musical,14088,1.01,771767,NA,8
1991-06-16,16,6,1991,Miss Saigon,Broadway,Musical,14088,1.01,770819,NA,8
1991-06-23,23,6,1991,Miss Saigon,Broadway,Musical,14088,1.01,771192,NA,8
1991-06-30,30,6,1991,Miss Saigon,Broadway,Musical,14088,1.01,777088,NA,8
1991-07-07,7,7,1991,Miss Saigon,Broadway,Musical,14088,1.01,779802,NA,8
1991-07-14,14,7,1991,Miss Saigon,Broadway,Musical,14084,1.01,782314,NA,8
1991-07-21,21,7,1991,Miss Saigon,Broadway,Musical,14088,1.01,781413,NA,8
1991-07-28,28,7,1991,Miss Saigon,Broadway,Musical,14088,1.01,786612,NA,8
1991-08-04,4,8,1991,Miss Saigon,Broadway,Musical,14088,1.01,782060,NA,8
1991-08-11,11,8,1991,Miss Saigon,Broadway,Musical,14088,1.01,781332,NA,8
1991-08-18,18,8,1991,Miss Saigon,Broadway,Musical,14088,1.01,784392,NA,8
1991-08-25,25,8,1991,Miss Saigon,Broadway,Musical,14088,1.01,786452,NA,8
1991-09-01,1,9,1991,Miss Saigon,Broadway,Musical,14088,1.01,786995,NA,8
1991-09-08,8,9,1991,Miss Saigon,Broadway,Musical,14088,1.01,783503,NA,8
1991-09-15,15,9,1991,Miss Saigon,Broadway,Musical,14088,1.01,781614,NA,8
1991-09-22,22,9,1991,Miss Saigon,Broadway,Musical,14088,1.01,780148,NA,8
1991-09-29,29,9,1991,Miss Saigon,Broadway,Musical,14088,1.01,776172,NA,8
1991-10-06,6,10,1991,Miss Saigon,Broadway,Musical,14088,1.01,775124,NA,8
1991-10-13,13,10,1991,Miss Saigon,Broadway,Musical,14088,1.01,776901,NA,8
1991-10-20,20,10,1991,Miss Saigon,Broadway,Musical,14088,1.01,771361,NA,8
1991-10-27,27,10,1991,Miss Saigon,Broadway,Musical,14088,1.01,777898,NA,8
1991-11-03,3,11,1991,Miss Saigon,Broadway,Musical,14088,1.01,784499,NA,8
1991-11-10,10,11,1991,Miss Saigon,Broadway,Musical,14088,1.01,780494,NA,8
1991-11-17,17,11,1991,Miss Saigon,Broadway,Musical,14088,1.01,781617,NA,8
1991-11-24,24,11,1991,Miss Saigon,Broadway,Musical,14088,1.01,779435,NA,8
1991-12-01,1,12,1991,Miss Saigon,Broadway,Musical,14088,1.01,784733,NA,8
1991-12-08,8,12,1991,Miss Saigon,Broadway,Musical,14088,1.01,782279,NA,8
1991-12-15,15,12,1991,Miss Saigon,Broadway,Musical,14088,1.01,780343,NA,8
1991-12-22,22,12,1991,Miss Saigon,Broadway,Musical,14088,1.01,778474,NA,8
1991-12-29,29,12,1991,Miss Saigon,Broadway,Musical,14088,1.01,800315,NA,8
1992-01-05,5,1,1992,Miss Saigon,Broadway,Musical,14088,1.01,837851,NA,8
1992-01-12,12,1,1992,Miss Saigon,Broadway,Musical,14088,1.01,773439,NA,8
1992-01-19,19,1,1992,Miss Saigon,Broadway,Musical,14082,1.01,735927,NA,8
1992-01-26,26,1,1992,Miss Saigon,Broadway,Musical,14088,1.01,759192,NA,8
1992-02-02,2,2,1992,Miss Saigon,Broadway,Musical,14088,1.01,741472,NA,8
1992-02-09,9,2,1992,Miss Saigon,Broadway,Musical,14088,1.01,741091,NA,8
1992-02-16,16,2,1992,Miss Saigon,Broadway,Musical,14088,1.01,750398,NA,8
1992-02-23,23,2,1992,Miss Saigon,Broadway,Musical,14088,1.01,756909,NA,8
1992-03-01,1,3,1992,Miss Saigon,Broadway,Musical,14088,1.01,746225,NA,8
1992-03-08,8,3,1992,Miss Saigon,Broadway,Musical,14088,1.01,708433,NA,8
1992-03-15,15,3,1992,Miss Saigon,Broadway,Musical,14088,1.01,708315,NA,8
1992-03-22,22,3,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7849,0.9,321851,0.84,0
1992-03-22,22,3,1992,Miss Saigon,Broadway,Musical,14088,1.01,710345,NA,8
1992-03-29,29,3,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8333,0.95,338536,0.88,0
1992-03-29,29,3,1992,Miss Saigon,Broadway,Musical,14088,1.01,712946,NA,8
1992-04-05,5,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7774,0.89,313611,0.82,0
1992-04-05,5,4,1992,Miss Saigon,Broadway,Musical,14088,1.01,710415,NA,8
1992-04-12,12,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7656,0.87,314028,0.82,1
1992-04-12,12,4,1992,Miss Saigon,Broadway,Musical,13773,0.99,699688,NA,8
1992-04-19,19,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8381,0.96,354794,0.92,8
1992-04-19,19,4,1992,Miss Saigon,Broadway,Musical,14019,1.01,700167,NA,8
1992-04-26,26,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8663,0.99,368407,0.96,8
1992-04-26,26,4,1992,Miss Saigon,Broadway,Musical,14088,1.01,705154,NA,8
1992-05-03,3,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7875,0.9,332830,0.87,8
1992-05-03,3,5,1992,Miss Saigon,Broadway,Musical,13953,1,699304,NA,8
1992-05-10,10,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7070,0.81,293613,0.76,8
1992-05-10,10,5,1992,Miss Saigon,Broadway,Musical,13938,1,697606,NA,8
1992-05-17,17,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7673,0.88,328716,0.86,8
1992-05-17,17,5,1992,Miss Saigon,Broadway,Musical,14025,1.01,704589,NA,8
1992-05-24,24,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6958,0.79,289457,0.75,8
1992-05-24,24,5,1992,Miss Saigon,Broadway,Musical,14088,1.01,706406,NA,8
1992-05-31,31,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6062,0.69,249238,0.65,8
1992-05-31,31,5,1992,Miss Saigon,Broadway,Musical,13912,1,706526,NA,8
1992-06-07,7,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6059,0.69,250416,0.65,8
1992-06-07,7,6,1992,Miss Saigon,Broadway,Musical,13596,0.98,691925,NA,8
1992-06-14,14,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6142,0.7,248778,0.65,8
1992-06-14,14,6,1992,Miss Saigon,Broadway,Musical,13956,1,703465,NA,8
1992-06-21,21,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6111,0.7,243197,0.63,8
1992-06-21,21,6,1992,Miss Saigon,Broadway,Musical,13916,1,701832,NA,8
1992-06-28,28,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6009,0.69,242339,0.63,8
1992-06-28,28,6,1992,Miss Saigon,Broadway,Musical,13930,1,709530,NA,8
1992-07-05,5,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,4612,0.53,177043,0.46,8
1992-07-05,5,7,1992,Miss Saigon,Broadway,Musical,13409,0.96,681135,NA,8
1992-07-12,12,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6065,0.69,236411,0.62,8
1992-07-12,12,7,1992,Miss Saigon,Broadway,Musical,13337,0.96,681649,NA,8
1992-07-19,19,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,5996,0.68,226232,0.59,8
1992-07-19,19,7,1992,Miss Saigon,Broadway,Musical,13303,0.95,676548,NA,8
1992-07-26,26,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6570,0.75,241848,0.63,8
1992-07-26,26,7,1992,Miss Saigon,Broadway,Musical,13546,0.97,689763,NA,8
1992-08-02,2,8,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6874,0.78,263971,0.69,8
1992-08-02,2,8,1992,Miss Saigon,Broadway,Musical,13447,0.96,685791,NA,8
1992-08-09,9,8,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7836,0.89,312031,0.81,8
1992-08-09,9,8,1992,Miss Saigon,Broadway,Musical,13665,0.98,699232,NA,8
1992-08-16,16,8,1992,Miss Saigon,Broadway,Musical,13963,1,712610,NA,8
1992-08-23,23,8,1992,Miss Saigon,Broadway,Musical,13797,0.99,705498,NA,8
1992-08-30,30,8,1992,Miss Saigon,Broadway,Musical,13465,0.97,691377,NA,8
1992-09-06,6,9,1992,Miss Saigon,Broadway,Musical,13158,0.94,666784,NA,8
1992-09-13,13,9,1992,Miss Saigon,Broadway,Musical,13105,0.94,670350,NA,8
1992-09-20,20,9,1992,Miss Saigon,Broadway,Musical,13100,0.94,667858,NA,8
1992-09-27,27,9,1992,Miss Saigon,Broadway,Musical,12919,0.93,652488,NA,8
1992-10-04,4,10,1992,Miss Saigon,Broadway,Musical,12700,0.91,646625,NA,8
1992-10-11,11,10,1992,Miss Saigon,Broadway,Musical,13194,0.95,661180,NA,8
1992-10-18,18,10,1992,Miss Saigon,Broadway,Musical,13529,0.97,683698,NA,8
1992-10-25,25,10,1992,Miss Saigon,Broadway,Musical,13313,0.95,654515,NA,8
1992-11-01,1,11,1992,Miss Saigon,Broadway,Musical,13120,0.94,651594,NA,8
1992-11-08,8,11,1992,Miss Saigon,Broadway,Musical,12968,0.93,639435,NA,8
1992-11-15,15,11,1992,Miss Saigon,Broadway,Musical,13642,0.98,681526,NA,8
1992-11-22,22,11,1992,Miss Saigon,Broadway,Musical,12888,0.92,633370,NA,8
1992-11-29,29,11,1992,Miss Saigon,Broadway,Musical,13539,0.97,685666,NA,8
1992-12-06,6,12,1992,Miss Saigon,Broadway,Musical,12958,0.93,657157,NA,8
1992-12-13,13,12,1992,Miss Saigon,Broadway,Musical,13478,0.97,674234,NA,8
1992-12-20,20,12,1992,Miss Saigon,Broadway,Musical,12555,0.9,642710,NA,8
1992-12-27,27,12,1992,Miss Saigon,Broadway,Musical,13723,0.98,703292,NA,8
1993-01-03,3,1,1993,Miss Saigon,Broadway,Musical,14086,1.01,761443,NA,8
1993-01-10,10,1,1993,Miss Saigon,Broadway,Musical,13378,0.96,671574,NA,8
1993-01-17,17,1,1993,Miss Saigon,Broadway,Musical,12016,0.86,589070,NA,8
1993-01-24,24,1,1993,Miss Saigon,Broadway,Musical,10874,0.78,536214,NA,8
1993-01-31,31,1,1993,Miss Saigon,Broadway,Musical,10546,0.76,512563,NA,8
1993-02-07,7,2,1993,Miss Saigon,Broadway,Musical,10833,0.78,509955,NA,8
1993-02-14,14,2,1993,Miss Saigon,Broadway,Musical,12068,0.87,568632,NA,8
1993-02-21,21,2,1993,Miss Saigon,Broadway,Musical,13206,0.95,621309,NA,8
1993-02-28,28,2,1993,Miss Saigon,Broadway,Musical,12962,0.93,588610,NA,8
1993-03-07,7,3,1993,Miss Saigon,Broadway,Musical,12206,0.88,553998,NA,8
1993-03-07,7,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,6346,0.97,210560,0.78,0
1993-03-14,14,3,1993,Miss Saigon,Broadway,Musical,12552,0.9,570125,NA,8
1993-03-14,14,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8420,0.96,296596,0.83,0
1993-03-21,21,3,1993,Miss Saigon,Broadway,Musical,12312,0.88,565549,NA,8
1993-03-21,21,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7228,0.82,251618,0.7,4
1993-03-28,28,3,1993,Miss Saigon,Broadway,Musical,13531,0.97,619592,NA,8
1993-03-28,28,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8583,0.98,290840,0.81,8
1993-04-04,4,4,1993,Miss Saigon,Broadway,Musical,13353,0.96,603463,NA,8
1993-04-04,4,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8591,0.98,317779,0.89,8
1993-04-11,11,4,1993,Miss Saigon,Broadway,Musical,13908,1,676307,NA,8
1993-04-11,11,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8646,0.99,325603,0.91,8
1993-04-18,18,4,1993,Miss Saigon,Broadway,Musical,13924,1,644975,NA,8
1993-04-18,18,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8652,0.99,321028,0.9,8
1993-04-25,25,4,1993,Miss Saigon,Broadway,Musical,13757,0.99,633524,NA,8
1993-04-25,25,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8579,0.98,318494,0.89,8
1993-05-02,2,5,1993,Miss Saigon,Broadway,Musical,13438,0.96,628406,NA,8
1993-05-02,2,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8689,0.99,331872,0.93,8
1993-05-09,9,5,1993,Miss Saigon,Broadway,Musical,13492,0.97,630932,NA,8
1993-05-09,9,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8588,0.98,331250,0.93,8
1993-05-16,16,5,1993,Miss Saigon,Broadway,Musical,13159,0.94,628993,NA,8
1993-05-16,16,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8548,0.97,331251,0.93,8
1993-05-23,23,5,1993,Miss Saigon,Broadway,Musical,14021,1.01,688323,NA,8
1993-05-23,23,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8574,0.98,338581,0.95,8
1993-05-30,30,5,1993,Miss Saigon,Broadway,Musical,13716,0.98,647086,NA,8
1993-05-30,30,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8593,0.98,341255,0.95,8
1993-06-06,6,6,1993,Miss Saigon,Broadway,Musical,13386,0.96,625804,NA,8
1993-06-06,6,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8634,0.98,340862,0.95,8
1993-06-13,13,6,1993,Miss Saigon,Broadway,Musical,13870,0.99,651025,NA,8
1993-06-13,13,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8716,0.99,346414,0.97,8
1993-06-20,20,6,1993,Miss Saigon,Broadway,Musical,13853,0.99,648784,NA,8
1993-06-20,20,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8731,1,346624,0.97,8
1993-06-27,27,6,1993,Miss Saigon,Broadway,Musical,13713,0.98,633514,NA,8
1993-06-27,27,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8719,0.99,353646,0.99,8
1993-07-04,4,7,1993,Miss Saigon,Broadway,Musical,13595,0.97,596972,NA,8
1993-07-04,4,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8740,1,355128,0.99,8
1993-07-11,11,7,1993,Miss Saigon,Broadway,Musical,13196,0.95,590545,NA,8
1993-07-11,11,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8723,0.99,352134,0.98,8
1993-07-18,18,7,1993,Miss Saigon,Broadway,Musical,13658,0.98,612295,NA,8
1993-07-18,18,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8733,1,351757,0.98,8
1993-07-25,25,7,1993,Miss Saigon,Broadway,Musical,13742,0.99,608814,NA,8
1993-07-25,25,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8723,0.99,351725,0.98,8
1993-08-01,1,8,1993,Miss Saigon,Broadway,Musical,13925,1,619202,NA,8
1993-08-01,1,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8731,1,360077,1.01,8
1993-08-08,8,8,1993,Miss Saigon,Broadway,Musical,13969,1,641020,NA,8
1993-08-08,8,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8756,1,364650,1.02,8
1993-08-15,15,8,1993,Miss Saigon,Broadway,Musical,14026,1.01,660301,NA,8
1993-08-15,15,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8725,1,365146,1.02,8
1993-08-22,22,8,1993,Miss Saigon,Broadway,Musical,14029,1.01,659943,NA,8
1993-08-22,22,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8721,0.99,360052,1.01,8
1993-08-29,29,8,1993,Miss Saigon,Broadway,Musical,14029,1.01,632019,NA,8
1993-08-29,29,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8000,0.91,327304,0.91,8
1993-09-05,5,9,1993,Miss Saigon,Broadway,Musical,13655,0.98,606371,NA,8
1993-09-05,5,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7240,0.83,298172,0.73,8
1993-09-12,12,9,1993,Miss Saigon,Broadway,Musical,13276,0.95,624574,NA,8
1993-09-12,12,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7432,0.85,305100,0.75,8
1993-09-19,19,9,1993,Miss Saigon,Broadway,Musical,12729,0.91,605308,NA,8
1993-09-19,19,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7186,0.82,283422,0.7,8
1993-09-26,26,9,1993,Miss Saigon,Broadway,Musical,13365,0.96,626809,NA,8
1993-09-26,26,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7036,0.8,273342,0.67,8
1993-10-03,3,10,1993,Miss Saigon,Broadway,Musical,13629,0.98,634943,NA,8
1993-10-03,3,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8145,0.93,335198,0.82,8
1993-10-10,10,10,1993,Miss Saigon,Broadway,Musical,13815,0.99,650645,NA,8
1993-10-10,10,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8353,0.95,344344,0.85,8
1993-10-17,17,10,1993,Miss Saigon,Broadway,Musical,14025,1.01,667721,NA,8
1993-10-17,17,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8339,0.95,346642,0.85,8
1993-10-24,24,10,1993,Miss Saigon,Broadway,Musical,13751,0.99,655615,NA,8
1993-10-24,24,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8295,0.95,347809,0.86,8
1993-10-31,31,10,1993,Miss Saigon,Broadway,Musical,13098,0.94,615399,NA,8
1993-10-31,31,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7508,0.86,312152,0.77,8
1993-11-07,7,11,1993,Miss Saigon,Broadway,Musical,12711,0.91,595922,NA,8
1993-11-07,7,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7492,0.85,312269,0.77,8
1993-11-14,14,11,1993,Miss Saigon,Broadway,Musical,13025,0.93,604762,NA,8
1993-11-14,14,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7815,0.89,325958,0.8,8
1993-11-21,21,11,1993,Miss Saigon,Broadway,Musical,13034,0.93,620387,NA,8
1993-11-21,21,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7798,0.89,322909,0.79,8
1993-11-28,28,11,1993,Miss Saigon,Broadway,Musical,13970,1,682887,NA,8
1993-11-28,28,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8535,0.97,344759,0.85,8
1993-12-05,5,12,1993,Miss Saigon,Broadway,Musical,12925,0.93,615524,NA,8
1993-12-05,5,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7894,0.9,324558,0.8,8
1993-12-12,12,12,1993,Miss Saigon,Broadway,Musical,13319,0.96,644538,NA,8
1993-12-12,12,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7540,0.86,314423,0.77,8
1993-12-19,19,12,1993,Miss Saigon,Broadway,Musical,12015,0.86,575625,NA,8
1993-12-19,19,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,6923,0.79,272259,0.67,8
1993-12-26,26,12,1993,Miss Saigon,Broadway,Musical,13487,0.97,631806,NA,8
1993-12-26,26,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,6369,0.73,236215,0.58,8
1994-01-02,2,1,1994,Miss Saigon,Broadway,Musical,14088,1.01,763535,NA,8
1994-01-02,2,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,8220,0.94,349517,0.89,8
1994-01-09,9,1,1994,Miss Saigon,Broadway,Musical,13583,0.97,650811,NA,8
1994-01-09,9,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5800,0.66,223688,0.55,8
1994-01-16,16,1,1994,Miss Saigon,Broadway,Musical,12263,0.88,562189,NA,8
1994-01-16,16,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6047,0.69,229553,0.56,8
1994-01-23,23,1,1994,Miss Saigon,Broadway,Musical,10466,0.75,494369,NA,8
1994-01-23,23,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5379,0.61,207831,0.51,8
1994-01-30,30,1,1994,Miss Saigon,Broadway,Musical,10374,0.74,469106,NA,8
1994-01-30,30,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4876,0.56,190051,0.47,8
1994-02-06,6,2,1994,Miss Saigon,Broadway,Musical,10366,0.74,439099,NA,8
1994-02-06,6,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5042,0.58,190222,0.47,8
1994-02-13,13,2,1994,Miss Saigon,Broadway,Musical,11256,0.81,476201,NA,8
1994-02-13,13,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4090,0.47,155438,0.38,8
1994-02-20,20,2,1994,Miss Saigon,Broadway,Musical,12534,0.9,559483,NA,8
1994-02-20,20,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5553,0.63,200340,0.49,8
1994-02-27,27,2,1994,Miss Saigon,Broadway,Musical,13347,0.96,530019,NA,8
1994-02-27,27,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5135,0.59,171422,0.42,8
1994-03-06,6,3,1994,Miss Saigon,Broadway,Musical,10022,0.72,421757,NA,8
1994-03-06,6,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4122,0.47,145023,0.36,8
1994-03-13,13,3,1994,Beauty And The Beast,Palace,Musical,9018,0.86,410334,NA,0
1994-03-13,13,3,1994,Miss Saigon,Broadway,Musical,12114,0.87,478881,NA,8
1994-03-13,13,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5133,0.59,162131,0.4,8
1994-03-20,20,3,1994,A Little More Magic,Belasco,Special,1999,0.33,42000,0.33,3
1994-03-20,20,3,1994,Beauty And The Beast,Palace,Musical,11072,0.8,514041,NA,0
1994-03-20,20,3,1994,Miss Saigon,Broadway,Musical,13286,0.95,535016,NA,8
1994-03-20,20,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5199,0.59,161765,0.4,8
1994-03-27,27,3,1994,A Little More Magic,Belasco,Special,2665,0.33,58000,0.45,8
1994-03-27,27,3,1994,Beauty And The Beast,Palace,Musical,11845,0.85,539446,NA,0
1994-03-27,27,3,1994,Miss Saigon,Broadway,Musical,13560,0.97,557699,NA,8
1994-03-27,27,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4037,0.46,125996,0.31,8
1994-04-03,3,4,1994,A Little More Magic,Belasco,Special,3232,0.4,60000,0.47,8
1994-04-03,3,4,1994,Beauty And The Beast,Palace,Musical,13809,0.99,664043,NA,0
1994-04-03,3,4,1994,Miss Saigon,Broadway,Musical,13792,0.99,608806,NA,8
1994-04-03,3,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5587,0.64,176874,0.43,8
1994-04-10,10,4,1994,Beauty And The Beast,Palace,Musical,12456,0.89,602833,NA,0
1994-04-10,10,4,1994,Miss Saigon,Broadway,Musical,13431,0.96,601215,NA,8
1994-04-10,10,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5542,0.63,178818,0.44,8
1994-04-17,17,4,1994,Beauty And The Beast,Palace,Musical,10486,0.75,517176,NA,0
1994-04-17,17,4,1994,Broken Glass,Booth,Play,4693,0.73,101439,0.37,0
1994-04-17,17,4,1994,Miss Saigon,Broadway,Musical,11837,0.85,529194,NA,8
1994-04-17,17,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5184,0.59,175720,0.43,8
1994-04-24,24,4,1994,Beauty And The Beast,Palace,Musical,11756,0.84,579078,NA,8
1994-04-24,24,4,1994,Broken Glass,Booth,Play,4350,0.67,110828,0.4,1
1994-04-24,24,4,1994,Miss Saigon,Broadway,Musical,13724,0.98,621247,NA,8
1994-04-24,24,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5653,0.64,184197,0.45,8
1994-05-01,1,5,1994,Beauty And The Beast,Palace,Musical,12819,0.92,640515,NA,8
1994-05-01,1,5,1994,Broken Glass,Booth,Play,4611,0.72,130235,0.47,8
1994-05-01,1,5,1994,Miss Saigon,Broadway,Musical,12643,0.91,565687,NA,8
1994-05-01,1,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5366,0.61,163688,0.4,8
1994-05-08,8,5,1994,Beauty And The Beast,Palace,Musical,13810,0.99,680557,NA,8
1994-05-08,8,5,1994,Broken Glass,Booth,Play,4820,0.75,137387,0.5,8
1994-05-08,8,5,1994,Miss Saigon,Broadway,Musical,13106,0.94,597026,NA,8
1994-05-08,8,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5752,0.66,175704,0.43,8
1994-05-15,15,5,1994,Beauty And The Beast,Palace,Musical,13339,0.96,670497,NA,8
1994-05-15,15,5,1994,Broken Glass,Booth,Play,5375,0.83,144713,0.52,8
1994-05-15,15,5,1994,Miss Saigon,Broadway,Musical,12762,0.92,581270,NA,8
1994-05-15,15,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6055,0.69,182854,0.45,8
1994-05-22,22,5,1994,Beauty And The Beast,Palace,Musical,14135,1.02,699159,NA,8
1994-05-22,22,5,1994,Broken Glass,Booth,Play,4422,0.69,128673,0.46,8
1994-05-22,22,5,1994,Miss Saigon,Broadway,Musical,13129,0.94,608810,NA,8
1994-05-22,22,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6573,0.75,199905,0.49,8
1994-05-29,29,5,1994,Beauty And The Beast,Palace,Musical,14071,1.01,706051,NA,8
1994-05-29,29,5,1994,Broken Glass,Booth,Play,4568,0.71,134999,0.49,8
1994-05-29,29,5,1994,Miss Saigon,Broadway,Musical,13237,0.95,603264,NA,8
1994-05-29,29,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6570,0.75,179420,0.44,8
1994-06-05,5,6,1994,Beauty And The Beast,Palace,Musical,13922,1,700153,NA,8
1994-06-05,5,6,1994,Broken Glass,Booth,Play,3668,0.57,110708,0.4,8
1994-06-05,5,6,1994,Miss Saigon,Broadway,Musical,12410,0.89,550033,NA,8
1994-06-05,5,6,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4569,0.52,140373,0.35,8
1994-06-12,12,6,1994,Beauty And The Beast,Palace,Musical,14118,1.01,703643,NA,8
1994-06-12,12,6,1994,Broken Glass,Booth,Play,4752,0.74,134698,0.49,8
1994-06-12,12,6,1994,Miss Saigon,Broadway,Musical,12748,0.91,573191,NA,8
1994-06-12,12,6,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5491,0.63,154988,0.38,8
1994-06-19,19,6,1994,Beauty And The Beast,Palace,Musical,14120,1.01,711816,NA,8
1994-06-19,19,6,1994,Broken Glass,Booth,Play,3655,0.57,103884,0.37,8
